[W, W, W, W][R, R, G, G][Y, Y, Y, Y][B, B, R, R][O, O, B, B][G, G, O, O]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@U
[W, W, B, B][O, O, W, G][G, Y, G, Y][W, G, R, R][R, R, B, Y][B, Y, O, O]@[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@U'
[B, W, O, O][W, W, G, G][R, R, G, Y][B, R, W, R][B, Y, B, Y][O, G, O, Y]@[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@F
[B, W, R, R][G, G, W, W][O, O, G, Y][G, R, R, G][B, Y, B, Y][O, W, O, B]@[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@F'
[B, W, B, W][W, G, O, O][G, G, Y, Y][R, R, W, G][B, Y, R, R][O, O, B, Y]@[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@D
[W, W, B, B][O, O, W, G][G, Y, G, Y][W, G, R, R][R, R, B, Y][B, Y, O, O]@[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@D'
[B, G, B, G][W, Y, W, Y][G, B, G, B][R, R, R, R][W, Y, W, Y][O, O, O, O]@[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@R
[B, B, B, B][W, W, W, W][G, G, G, G][R, R, R, R][Y, Y, Y, Y][O, O, O, O]@[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@R'
[R, R, B, W][W, G, W, G][G, Y, O, O][R, Y, R, G][B, B, Y, Y][W, O, B, O]@[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@B
[O, O, B, W][W, G, W, G][G, Y, R, R][R, B, R, W][Y, Y, B, B][G, O, Y, O]@[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@B'
[Y, W, Y, W][B, G, B, G][W, Y, W, Y][R, R, R, R][B, G, B, G][O, O, O, O]@[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@L
[G, G, W, W][R, R, Y, G][B, Y, B, Y][B, W, R, R][O, O, B, W][Y, G, O, O]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@U
[W, W, G, G][O, O, Y, G][B, Y, B, Y][Y, G, R, R][R, R, B, W][B, W, O, O]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@U'
[G, W, O, O][Y, Y, G, G][R, R, B, Y][G, R, W, R][B, W, B, W][O, B, O, Y]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@F
[G, W, R, R][G, G, Y, Y][O, O, B, Y][B, R, R, B][B, W, B, W][O, W, O, G]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@F'
[G, W, G, W][Y, G, O, O][B, B, Y, Y][R, R, Y, G][B, W, R, R][O, O, B, W]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@D
[W, W, G, G][O, O, Y, G][B, Y, B, Y][Y, G, R, R][R, R, B, W][B, W, O, O]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@D'
[G, G, G, G][Y, Y, Y, Y][B, B, B, B][R, R, R, R][W, W, W, W][O, O, O, O]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@R
[G, B, G, B][Y, W, Y, W][B, G, B, G][R, R, R, R][Y, W, Y, W][O, O, O, O]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@R'
[R, R, G, W][Y, G, Y, G][B, Y, O, O][R, Y, R, B][B, B, W, W][W, O, G, O]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@B
[O, O, G, W][Y, G, Y, G][B, Y, R, R][R, G, R, W][W, W, B, B][B, O, Y, O]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@B'
[Y, W, Y, W][B, G, B, G][W, Y, W, Y][R, R, R, R][B, G, B, G][O, O, O, O]@[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@L'
